Razbi's Bot Solutions|RZBI
Woodcutters|WOOD
Stone Miners|MINE
Kirkov's Kalasnikovs Store|AK47
Potato Farmers|FARM
Nerzul's Tavern|TAVR
Dragomir's Writers Guild|WRTR
Bob's Builders|BLDG
King's Musicians|MUSC
Assassin's Video Producers|VID
DL's Design Studio|DSGN
Doctorul's Dentist Office|DENT
Bogdahoh's Carbonated Water|AQUA
Morhenwolf's Web Solutions|WEB
Snaketooth's Snake Farm|SNAK
Rukkard's Gym|GYM
EvilStar's Game Dev Company|GAME
Kappahalla's Police Department|KAPD
Codrin's DJs|DJ
Vulkan's Voice Acting Company|VOIC
BarbosGaming's Gold Mine|GOLD
